province_zipCode,city_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
220000,220100,93,0,67,1,45,0,35,0
220000,220400,93,0,67,1,7,0,2,0
220000,220500,93,0,67,1,6,0,2,0
220000,220300,93,0,67,1,15,0,11,1
220000,220381,93,0,67,1,6,0,4,0
220000,220800,93,0,67,1,1,0,0,0
220000,220200,93,0,67,1,5,0,5,0
220000,222400,93,0,67,1,5,0,5,0
220000,220700,93,0,67,1,2,0,2,0
220000,220581,93,0,67,1,1,0,1,0
650000,650100,76,0,43,2,23,0,14,0
650000,654000,76,0,43,2,18,0,10,0
650000,0,76,0,43,2,10,0,4,0
650000,0,76,0,43,2,4,0,1,1
650000,650400,76,0,43,2,3,0,1,0
650000,0,76,0,43,2,4,0,1,1
650000,0,76,0,43,2,4,0,3,0
650000,0,76,0,43,2,2,0,1,0
650000,511902,76,0,43,2,3,0,3,0
650000,0,76,0,43,2,3,0,3,0
650000,0,76,0,43,2,1,0,1,0
650000,652900,76,0,43,2,1,0,1,0
330000,330300,1205,0,932,1,504,0,384,1
330000,331000,1205,0,932,1,146,0,103,0
330000,0,1205,0,932,1,36,0,3,0
330000,330100,1205,0,932,1,169,0,149,0
330000,330200,1205,0,932,1,157,0,137,0
330000,330400,1205,0,932,1,45,0,32,0
330000,330600,1205,0,932,1,42,0,31,0
330000,330700,1205,0,932,1,55,0,50,0
330000,330900,1205,0,932,1,10,0,6,0
330000,330800,1205,0,932,1,14,0,11,0
330000,330500,1205,0,932,1,10,0,9,0
330000,331100,1205,0,932,1,17,0,17,0
510000,510100,534,0,321,3,143,0,83,3
510000,513300,534,0,321,3,74,0,18,0
510000,511700,534,0,321,3,42,0,20,0
510000,511300,534,0,321,3,39,0,23,0
510000,511900,534,0,321,3,24,0,11,0
510000,511600,534,0,321,3,30,0,21,0
510000,510700,534,0,321,3,22,0,14,0
510000,510600,534,0,321,3,18,0,10,0
510000,510500,534,0,321,3,24,0,20,0
510000,511000,534,0,321,3,22,0,18,0
510000,513400,534,0,321,3,13,0,9,0
510000,510900,534,0,321,3,17,0,15,0
510000,511500,534,0,321,3,12,0,10,0
510000,511400,534,0,321,3,8,0,6,0
510000,512000,534,0,321,3,4,0,2,0
510000,511800,534,0,321,3,7,0,6,0
510000,510400,534,0,321,3,16,0,16,0
510000,510300,534,0,321,3,9,0,9,0
510000,510800,534,0,321,3,6,0,6,0
510000,511100,534,0,321,3,3,0,3,0
510000,513200,534,0,321,3,1,0,1,0
430000,430100,1017,0,804,4,242,0,164,2
430000,430600,1017,0,804,4,156,0,111,1
430000,430200,1017,0,804,4,80,0,56,0
430000,431300,1017,0,804,4,76,0,58,0
430000,430700,1017,0,804,4,82,0,69,0
430000,430400,1017,0,804,4,48,0,38,0
430000,430500,1017,0,804,4,102,0,92,1
430000,430300,1017,0,804,4,36,0,29,0
430000,431000,1017,0,804,4,39,0,34,0
430000,431100,1017,0,804,4,44,0,42,0
430000,430900,1017,0,804,4,59,0,58,0
430000,431200,1017,0,804,4,40,0,40,0
430000,433100,1017,0,804,4,8,0,8,0
430000,430800,1017,0,804,4,5,0,5,0
230000,230100,480,0,270,13,198,0,84,4
230000,230500,480,0,270,13,52,0,29,3
230000,230300,480,0,270,13,46,0,28,0
230000,230200,480,0,270,13,43,0,28,1
230000,230600,480,0,270,13,26,0,14,1
230000,231200,480,0,270,13,47,0,35,4
230000,230900,480,0,270,13,17,0,12,0
230000,231100,480,0,270,13,14,0,9,0
230000,231000,480,0,270,13,14,0,9,0
230000,230400,480,0,270,13,5,0,4,0
230000,230800,480,0,270,13,15,0,15,0
230000,232700,480,0,270,13,2,0,2,0
230000,230700,480,0,270,13,1,0,1,0
610000,610100,245,0,195,1,120,0,95,1
610000,610700,245,0,195,1,26,0,17,0
610000,610900,245,0,195,1,26,0,20,0
610000,610500,245,0,195,1,15,0,9,0
610000,610200,245,0,195,1,8,0,6,0
610000,610400,245,0,195,1,17,0,16,0
610000,610300,245,0,195,1,13,0,12,0
610000,611000,245,0,195,1,7,0,6,0
610000,610600,245,0,195,1,8,0,8,0
610000,610800,245,0,195,1,3,0,3,0
610000,610581,245,0,195,1,1,0,1,0
610000,0,245,0,195,1,1,0,1,0
610000,0,245,0,195,1,0,0,1,0
130000,130200,317,0,274,6,58,0,40,1
130000,130700,317,0,274,6,40,0,33,0
130000,130900,317,0,274,6,48,0,39,3
130000,130100,317,0,274,6,29,0,24,0
130000,130400,317,0,274,6,32,0,30,0
130000,130600,317,0,274,6,32,0,32,0
130000,131000,317,0,274,6,30,0,30,0
130000,130500,317,0,274,6,23,0,22,1
130000,130300,317,0,274,6,10,0,9,1
130000,131100,317,0,274,6,8,0,8,0
130000,130800,317,0,274,6,7,0,7,0
420000,420100,65596,0,23383,2641,47824,0,13472,2104
420000,420900,65596,0,23383,2641,3516,0,1625,113
420000,421100,65596,0,23383,2641,2904,0,1952,110
420000,420700,65596,0,23383,2641,1389,0,613,42
420000,421000,65596,0,23383,2641,1579,0,877,45
420000,421300,65596,0,23383,2641,1307,0,693,37
420000,420500,65596,0,23383,2641,929,0,396,30
420000,420600,65596,0,23383,2641,1175,0,701,31
420000,420800,65596,0,23383,2641,923,0,508,37
420000,420200,65596,0,23383,2641,1013,0,624,33
420000,420300,65596,0,23383,2641,671,0,372,3
420000,421200,65596,0,23383,2641,836,0,616,11
420000,429004,65596,0,23383,2641,575,0,356,19
420000,429006,65596,0,23383,2641,496,0,307,13
420000,429005,65596,0,23383,2641,197,0,97,9
420000,422800,65596,0,23383,2641,251,0,164,4
420000,429021,65596,0,23383,2641,11,0,10,0
420000,420100,65596,0,23370,2641,47824,0,13472,2104
420000,420900,65596,0,23370,2641,3516,0,1622,113
420000,421100,65596,0,23370,2641,2904,0,1952,110
420000,420700,65596,0,23370,2641,1389,0,613,42
420000,421000,65596,0,23370,2641,1579,0,867,45
420000,421300,65596,0,23370,2641,1307,0,693,37
420000,420500,65596,0,23370,2641,929,0,396,30
420000,420600,65596,0,23370,2641,1175,0,701,31
420000,420800,65596,0,23370,2641,923,0,508,37
420000,420200,65596,0,23370,2641,1013,0,624,33
420000,420300,65596,0,23370,2641,671,0,372,3
420000,421200,65596,0,23370,2641,836,0,616,11
420000,429004,65596,0,23370,2641,575,0,356,19
420000,429006,65596,0,23370,2641,496,0,307,13
420000,429005,65596,0,23370,2641,197,0,97,9
420000,422800,65596,0,23370,2641,251,0,164,4
420000,429021,65596,0,23370,2641,11,0,10,0
420000,420100,65596,0,23361,2641,47824,0,13463,2104
420000,420900,65596,0,23361,2641,3516,0,1622,113
420000,421100,65596,0,23361,2641,2904,0,1952,110
420000,420700,65596,0,23361,2641,1389,0,613,42
420000,421000,65596,0,23361,2641,1579,0,867,45
420000,421300,65596,0,23361,2641,1307,0,693,37
420000,420500,65596,0,23361,2641,929,0,396,30
420000,420600,65596,0,23361,2641,1175,0,701,31
420000,420800,65596,0,23361,2641,923,0,508,37
420000,420200,65596,0,23361,2641,1013,0,624,33
420000,420300,65596,0,23361,2641,671,0,372,3
420000,421200,65596,0,23361,2641,836,0,616,11
420000,429004,65596,0,23361,2641,575,0,356,19
420000,429006,65596,0,23361,2641,496,0,307,13
420000,429005,65596,0,23361,2641,197,0,97,9
420000,422800,65596,0,23361,2641,251,0,164,4
420000,429021,65596,0,23361,2641,11,0,10,0
420000,420100,65596,0,23285,2641,47824,0,13387,2104
420000,420900,65596,0,23285,2641,3516,0,1622,113
420000,421100,65596,0,23285,2641,2904,0,1952,110
420000,420700,65596,0,23285,2641,1389,0,613,42
420000,421000,65596,0,23285,2641,1579,0,867,45
420000,421300,65596,0,23285,2641,1307,0,693,37
